"","cik","company.name","form.type","date.filed","url","file.path","file.name"
"894030","202058","L3HARRIS TECHNOLOGIES, INC. /DE/","10-K","2019-08-22","edgar/data/202058/0000202058-19-000090.txt","Data/K10_293.txt","K10_293.txt"
"894316","21076","CLOROX CO /DE/","10-K","2019-08-14","edgar/data/21076/0000021076-19-000012.txt","Data/K10_294.txt","K10_294.txt"
"894936","23217","CONAGRA BRANDS INC.","10-K","2019-07-19","edgar/data/23217/0000023217-19-000006.txt","Data/K10_295.txt","K10_295.txt"
"898157","319201","KLA CORP","10-K","2019-08-16","edgar/data/319201/0000319201-19-000031.txt","Data/K10_296.txt","K10_296.txt"
"903799","707549","LAM RESEARCH CORP","10-K","2019-08-20","edgar/data/707549/0000707549-19-000124.txt","Data/K10_297.txt","K10_297.txt"
"905763","723254","CINTAS CORP","10-K","2019-07-26","edgar/data/723254/0000723254-19-000021.txt","Data/K10_298.txt","K10_298.txt"
"910740","779152","HENRY JACK & ASSOCIATES INC","10-K","2019-08-26","edgar/data/779152/0000779152-19-000048.txt","Data/K10_299.txt","K10_299.txt"
"911500","789019","MICROSOFT CORP","10-K","2019-08-01","edgar/data/789019/0001564590-19-027952.txt","Data/K10_300.txt","K10_300.txt"
"920605","858877","CISCO SYSTEMS, INC.","10-K","2019-09-05","edgar/data/858877/0000858877-19-000012.txt","Data/K10_301.txt","K10_301.txt"
"924645","8858","AVNET INC","10-K","2019-08-15","edgar/data/8858/0000008858-19-000035.txt","Data/K10_302.txt","K10_302.txt"
"928846","896878","INTUIT INC","10-K","2019-08-30","edgar/data/896878/0000896878-19-000132.txt","Data/K10_303.txt","K10_303.txt"
"935820","940944","DARDEN RESTAURANTS INC","10-K","2019-07-19","edgar/data/940944/0000940944-19-000025.txt","Data/K10_304.txt","K10_304.txt"
"936003","943819","RESMED INC","10-K","2019-08-08","edgar/data/943819/0000943819-19-000017.txt","Data/K10_305.txt","K10_305.txt"
