"","cik","company.name","form.type","date.filed","url","file.path","file.name"
"429238","28412","COMERICA INC /NEW/","10-K","2019-02-12","edgar/data/28412/0000028412-19-000047.txt","Data/K10_157.txt","K10_157.txt"
"429461","29534","DOLLAR GENERAL CORP","10-K","2019-03-22","edgar/data/29534/0001558370-19-002383.txt","Data/K10_158.txt","K10_158.txt"
"429609","29989","OMNICOM GROUP INC.","10-K","2019-02-12","edgar/data/29989/0000029989-19-000007.txt","Data/K10_159.txt","K10_159.txt"
"429714","30625","FLOWSERVE CORP","10-K","2019-02-20","edgar/data/30625/0000030625-19-000009.txt","Data/K10_160.txt","K10_160.txt"
"429736","30697","Wendy's Co","10-K","2019-02-27","edgar/data/30697/0000030697-19-000004.txt","Data/K10_161.txt","K10_161.txt"
"431528","313927","CHURCH & DWIGHT CO INC /DE/","10-K","2019-02-21","edgar/data/313927/0001564590-19-003587.txt","Data/K10_162.txt","K10_162.txt"
"431665","31462","ECOLAB INC.","10-K","2019-03-01","edgar/data/31462/0001558370-19-001379.txt","Data/K10_163.txt","K10_163.txt"
"432595","315213","HALF ROBERT INTERNATIONAL INC /DE/","10-K","2019-02-15","edgar/data/315213/0001628280-19-001488.txt","Data/K10_164.txt","K10_164.txt"
"432900","316709","SCHWAB CHARLES CORP","10-K","2019-02-22","edgar/data/316709/0000316709-19-000008.txt","Data/K10_165.txt","K10_165.txt"
"432987","31791","PERKINELMER INC","10-K","2019-02-26","edgar/data/31791/0000031791-19-000003.txt","Data/K10_166.txt","K10_166.txt"
"433631","33185","EQUIFAX INC","10-K","2019-02-21","edgar/data/33185/0000033185-19-000007.txt","Data/K10_167.txt","K10_167.txt"
"435761","354950","HOME DEPOT INC","10-K","2019-03-28","edgar/data/354950/0000354950-19-000010.txt","Data/K10_168.txt","K10_168.txt"
"435873","35527","FIFTH THIRD BANCORP","10-K","2019-03-01","edgar/data/35527/0001193125-19-059441.txt","Data/K10_169.txt","K10_169.txt"
"436855","36270","M&T BANK CORP","10-K","2019-02-20","edgar/data/36270/0001564590-19-003467.txt","Data/K10_170.txt","K10_170.txt"
"437686","39911","GAP INC","10-K","2019-03-19","edgar/data/39911/0000039911-19-000023.txt","Data/K10_171.txt","K10_171.txt"
"437799","40533","GENERAL DYNAMICS CORP","10-K","2019-02-13","edgar/data/40533/0000040533-19-000010.txt","Data/K10_172.txt","K10_172.txt"
"438543","4447","HESS CORP","10-K","2019-02-21","edgar/data/4447/0001564590-19-003671.txt","Data/K10_173.txt","K10_173.txt"
"438748","46080","HASBRO INC","10-K","2019-02-26","edgar/data/46080/0001193125-19-052025.txt","Data/K10_174.txt","K10_174.txt"
"438804","46195","BANK OF HAWAII CORP","10-K","2019-03-01","edgar/data/46195/0000046195-19-000042.txt","Data/K10_175.txt","K10_175.txt"
"438921","47111","HERSHEY CO","10-K","2019-02-22","edgar/data/47111/0000047111-19-000010.txt","Data/K10_176.txt","K10_176.txt"
"439111","48898","HUBBELL INC","10-K","2019-02-15","edgar/data/48898/0001628280-19-001446.txt","Data/K10_177.txt","K10_177.txt"
"439230","49196","HUNTINGTON BANCSHARES INC/MD","10-K","2019-02-15","edgar/data/49196/0000049196-19-000018.txt","Data/K10_178.txt","K10_178.txt"
"439358","4962","AMERICAN EXPRESS CO","10-K","2019-02-13","edgar/data/4962/0000004962-19-000018.txt","Data/K10_179.txt","K10_179.txt"
"439503","49826","ILLINOIS TOOL WORKS INC","10-K","2019-02-15","edgar/data/49826/0000049826-19-000021.txt","Data/K10_180.txt","K10_180.txt"
"439648","50863","INTEL CORP","10-K","2019-02-01","edgar/data/50863/0000050863-19-000007.txt","Data/K10_181.txt","K10_181.txt"
"439811","51253","INTERNATIONAL FLAVORS & FRAGRANCES INC","10-K","2019-02-26","edgar/data/51253/0000051253-19-000004.txt","Data/K10_182.txt","K10_182.txt"
"440019","5272","AMERICAN INTERNATIONAL GROUP INC","10-K","2019-02-15","edgar/data/5272/0000005272-19-000023.txt","Data/K10_183.txt","K10_183.txt"
"440351","55067","KELLOGG CO","10-K","2019-02-25","edgar/data/55067/0001628280-19-001864.txt","Data/K10_184.txt","K10_184.txt"
"440452","5513","Unum Group","10-K","2019-02-19","edgar/data/5513/0000005513-19-000004.txt","Data/K10_185.txt","K10_185.txt"
"440552","55785","KIMBERLY CLARK CORP","10-K","2019-02-07","edgar/data/55785/0000055785-19-000013.txt","Data/K10_186.txt","K10_186.txt"
"441624","62996","MASCO CORP /DE/","10-K","2019-02-07","edgar/data/62996/0000062996-19-000011.txt","Data/K10_187.txt","K10_187.txt"
"441764","63754","MCCORMICK & CO INC","10-K","2019-01-25","edgar/data/63754/0000063754-19-000017.txt","Data/K10_188.txt","K10_188.txt"
"441882","64040","S&P Global Inc.","10-K","2019-02-13","edgar/data/64040/0000064040-19-000059.txt","Data/K10_189.txt","K10_189.txt"
"442611","68505","Motorola Solutions, Inc.","10-K","2019-02-15","edgar/data/68505/0000068505-19-000006.txt","Data/K10_190.txt","K10_190.txt"
"443155","701985","L Brands, Inc.","10-K","2019-03-22","edgar/data/701985/0000701985-19-000015.txt","Data/K10_191.txt","K10_191.txt"
"445518","713676","PNC FINANCIAL SERVICES GROUP, INC.","10-K","2019-03-01","edgar/data/713676/0000713676-19-000015.txt","Data/K10_192.txt","K10_192.txt"
"446393","717605","HEXCEL CORP /DE/","10-K","2019-02-06","edgar/data/717605/0001564590-19-002166.txt","Data/K10_193.txt","K10_193.txt"
"446572","718877","Activision Blizzard, Inc.","10-K","2019-02-28","edgar/data/718877/0001047469-19-000788.txt","Data/K10_194.txt","K10_194.txt"
"446812","719739","SVB FINANCIAL GROUP","10-K","2019-02-28","edgar/data/719739/0000719739-19-000018.txt","Data/K10_195.txt","K10_195.txt"
"447083","721683","TOTAL SYSTEM SERVICES INC","10-K","2019-02-21","edgar/data/721683/0001558370-19-000862.txt","Data/K10_196.txt","K10_196.txt"
"447478","72333","NORDSTROM INC","10-K","2019-03-18","edgar/data/72333/0000072333-19-000060.txt","Data/K10_197.txt","K10_197.txt"
"449109","73124","NORTHERN TRUST CORP","10-K","2019-02-26","edgar/data/73124/0000073124-19-000088.txt","Data/K10_198.txt","K10_198.txt"
"449327","732712","VERIZON COMMUNICATIONS INC","10-K","2019-02-15","edgar/data/732712/0000732712-19-000012.txt","Data/K10_199.txt","K10_199.txt"
"449477","732717","AT&T INC.","10-K","2019-02-20","edgar/data/732717/0001193125-19-045608.txt","Data/K10_200.txt","K10_200.txt"
"451636","750556","SUNTRUST BANKS INC","10-K","2019-02-22","edgar/data/750556/0000750556-19-000103.txt","Data/K10_201.txt","K10_201.txt"
"451911","751364","NATIONAL RETAIL PROPERTIES, INC.","10-K","2019-02-12","edgar/data/751364/0000751364-19-000024.txt","Data/K10_202.txt","K10_202.txt"
"452620","75677","PACKAGING CORP OF AMERICA","10-K","2019-02-28","edgar/data/75677/0001564590-19-005284.txt","Data/K10_203.txt","K10_203.txt"
"452706","757011","USG CORP","10-K","2019-02-14","edgar/data/757011/0000757011-19-000016.txt","Data/K10_204.txt","K10_204.txt"
"452819","759944","CITIZENS FINANCIAL GROUP INC/RI","10-K","2019-02-21","edgar/data/759944/0000759944-19-000024.txt","Data/K10_205.txt","K10_205.txt"
"453295","763901","POPULAR INC","10-K","2019-03-01","edgar/data/763901/0001193125-19-059912.txt","Data/K10_206.txt","K10_206.txt"
"453477","764180","ALTRIA GROUP, INC.","10-K","2019-02-26","edgar/data/764180/0000764180-19-000023.txt","Data/K10_207.txt","K10_207.txt"
"453571","764478","BEST BUY CO INC","10-K","2019-03-28","edgar/data/764478/0000764478-19-000009.txt","Data/K10_208.txt","K10_208.txt"
"453821","765880","HCP, INC.","10-K","2019-02-14","edgar/data/765880/0001628280-19-001407.txt","Data/K10_209.txt","K10_209.txt"
"453887","766421","ALASKA AIR GROUP, INC.","10-K","2019-02-15","edgar/data/766421/0000766421-19-000008.txt","Data/K10_210.txt","K10_210.txt"
"454243","769397","AUTODESK INC","10-K","2019-03-25","edgar/data/769397/0000769397-19-000016.txt","Data/K10_211.txt","K10_211.txt"
"454280","769520","MIDDLEBY CORP","10-K","2019-02-27","edgar/data/769520/0000769520-19-000003.txt","Data/K10_212.txt","K10_212.txt"
"454918","77476","PEPSICO INC","10-K","2019-02-15","edgar/data/77476/0000077476-19-000017.txt","Data/K10_213.txt","K10_213.txt"
"455718","78239","PVH CORP. /DE/","10-K","2019-03-29","edgar/data/78239/0000078239-19-000011.txt","Data/K10_214.txt","K10_214.txt"
"456925","790051","CARLISLE COMPANIES INC","10-K","2019-02-14","edgar/data/790051/0000790051-19-000070.txt","Data/K10_215.txt","K10_215.txt"
"458021","796343","ADOBE INC.","10-K","2019-01-25","edgar/data/796343/0000796343-19-000019.txt","Data/K10_216.txt","K10_216.txt"
"458948","802481","PILGRIMS PRIDE CORP","10-K","2019-02-14","edgar/data/802481/0000802481-19-000015.txt","Data/K10_217.txt","K10_217.txt"
"461163","811156","CMS ENERGY CORP","10-K","2019-02-05","edgar/data/811156/0000811156-19-000003.txt","Data/K10_218.txt","K10_218.txt"
"462523","815556","FASTENAL CO","10-K","2019-02-06","edgar/data/815556/0000815556-19-000015.txt","Data/K10_219.txt","K10_219.txt"
